device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),memory not used by torch (MB),cupy memory (MB)
1,,2023-05-31 16:43:07,0,81920,73933,7987,820,0
1,,2023-05-31 16:43:08,0,81920,73933,7987,820,0
1,,2023-05-31 16:43:09,0,81920,73933,7987,820,0
1,,2023-05-31 16:43:10,0,81920,73933,7987,820,0
1,,2023-05-31 16:43:11,0,81920,73933,7987,820,0
1,,2023-05-31 16:43:12,0,81920,73933,7987,820,0
1,,2023-05-31 16:43:13,0,81920,74193,7727,820,0
1,,2023-05-31 16:43:14,0,81920,74355,7565,820,0
1,,2023-05-31 16:43:15,0,81920,74095,7825,820,0
1,,2023-05-31 16:43:16,0,81920,74095,7825,820,0
1,,2023-05-31 16:43:17,0,81920,74095,7825,820,0
1,,2023-05-31 16:43:18,0,81920,74095,7825,820,0
1,,2023-05-31 16:43:19,0,81920,74095,7825,820,0
1,,2023-05-31 16:43:20,0,81920,74095,7825,820,0
1,,2023-05-31 16:43:21,0,81920,73955,7965,820,0
1,,2023-05-31 16:43:22,0,81920,74053,7867,820,0
1,,2023-05-31 16:43:23,0,81920,74355,7565,562,0
1,,2023-05-31 16:43:24,0,81920,74095,7825,820,0
1,,2023-05-31 16:43:25,0,81920,74095,7825,820,0
1,,2023-05-31 16:43:26,0,81920,74095,7825,820,0
1,,2023-05-31 16:43:28,0,81920,74093,7827,820,0
1,,2023-05-31 16:43:29,0,81920,73931,7989,820,0
1,,2023-05-31 16:43:30,0,81920,73931,7989,820,0
1,,2023-05-31 16:43:31,0,81920,73931,7989,820,0
1,,2023-05-31 16:43:32,0,81920,73931,7989,820,0
1,,2023-05-31 16:43:33,0,81920,73931,7989,820,0
1,,2023-05-31 16:43:34,0,81920,73931,7989,820,0
1,,2023-05-31 16:43:35,0,81920,74095,7825,820,0
1,,2023-05-31 16:43:36,0,81920,74355,7565,820,0
1,,2023-05-31 16:43:37,0,81920,74117,7803,820,0
1,,2023-05-31 16:43:38,0,81920,74117,7803,820,0
1,,2023-05-31 16:43:39,0,81920,74117,7803,820,0
1,,2023-05-31 16:43:40,0,81920,74195,7725,820,0
1,,2023-05-31 16:43:41,0,81920,73903,8017,820,0
1,,2023-05-31 16:43:42,0,81920,73903,8017,820,0
1,,2023-05-31 16:43:43,0,81920,73903,8017,820,0
1,,2023-05-31 16:43:44,0,81920,74353,7567,820,0
1,,2023-05-31 16:43:45,0,81920,74029,7891,820,0
1,,2023-05-31 16:43:46,0,81920,74029,7891,820,0
1,,2023-05-31 16:43:47,0,81920,74031,7889,820,16
1,,2023-05-31 16:43:48,0,81920,73825,8095,820,0
